make;model;body;transmission;color;condition;odometer;price
14;55;1;1;3;4.3;41997;25250
1;80;1;1;2;2.5;40331;15200
4;5;2;1;1;3.6;40425;12500
1;11;2;1;5;4.8;8177;15300
14;81;1;1;3;4.3;39566;26750
15;59;4;1;3;3.7;18960;22750
1;11;2;1;1;4.1;21258;16400
1;72;2;1;3;2;81410;2700
1;11;2;1;1;4.4;20984;16500
1;11;2;1;6;3.3;26360;13300
13;42;9;1;2;3.8;46548;21000
13;42;9;1;2;4.5;35450;23000
15;68;2;1;13;4.7;28463;36250
15;56;2;1;3;3.6;24168;56250
20;82;1;1;12;4.3;39459;24500
17;76;11;1;1;4.5;7787;14000
13;42;9;2;3;4.3;13149;28250
10;57;2;1;5;3.5;21189;31900
21;170;2;1;3;4.2;10067;26000
15;59;2;1;1;4.3;23615;22250
1;11;2;1;1;4.2;13929;14300
4;5;2;1;5;4;39159;13500
4;5;2;1;2;4;37182;13300
15;59;4;1;3;4.1;19780;23750
1;11;2;1;1;4.3;21642;16600
15;83;1;1;2;4.2;26853;48000
17;76;11;1;2;3.5;36898;13100
1;80;1;1;8;4.6;32685;15250
15;83;1;1;5;4.3;16584;46750
21;170;2;1;8;5;6891;26000
1;61;6;1;3;4.1;11342;12000
15;83;1;1;5;5;6536;42750
18;69;5;1;5;3.9;41357;16500
13;42;9;1;3;3.7;44723;20401
1;1;1;1;3;3.3;71662;14000
15;56;2;1;3;3.5;38407;54000
4;5;4;1;4;3.4;36975;13500
1;1;1;1;8;4.3;28790;13500
4;5;4;1;1;3.5;38530;13600
19;77;1;1;1;4.6;9214;39000
1;72;2;1;1;3.7;39081;8500
1;11;2;1;5;3.7;35707;13300
15;56;2;1;3;4.2;38691;48000
4;5;2;1;5;4;38666;13300
14;55;1;1;3;3.7;42482;25000
19;77;1;1;2;5;5403;30500
17;71;1;1;3;4.5;40884;19600
15;56;2;1;3;4.1;33776;46500
4;5;2;1;3;3.7;43262;13400
13;42;9;1;3;2.9;42887;19900
13;42;9;1;8;4.3;40101;20250
13;62;2;1;5;4.2;6787;33500
15;59;4;1;13;4.1;16486;23500
17;70;2;1;8;3.8;39573;11800
13;42;9;1;3;2.4;42547;17250
1;11;2;1;1;4.4;67229;19000
15;59;4;1;3;3.7;23783;22500
10;28;1;1;12;4.6;21932;37750
4;5;2;1;3;3.5;45568;12000
15;59;2;1;1;4.3;22984;21750
17;76;11;1;2;3.9;37664;13000
16;84;2;1;8;3.6;27059;18900
13;41;8;2;3;3.5;19058;28750
18;69;6;1;1;3.8;36764;14000
15;56;2;1;3;4.4;10862;57250
17;76;11;1;3;4.4;14818;15000
15;59;2;1;3;4.3;23941;21750
1;11;2;1;2;3.6;11238;23000
4;5;2;1;2;3.8;38444;13500
13;62;2;1;5;4.3;9810;30000
4;5;2;1;1;4.1;21968;13750
15;59;4;1;13;2.5;10972;36500
1;72;2;1;2;3.7;33980;10400
1;61;2;1;4;3;37213;9500
13;42;9;1;13;3.3;38131;20000
1;11;2;1;4;2.3;38247;17000
19;85;1;1;3;3.7;26757;60000
10;67;2;1;2;3.6;20880;29300
15;68;2;1;2;4.7;31064;30750
15;68;4;1;1;4.5;19538;32250
10;57;2;1;3;3.8;42813;31000
13;62;2;1;3;4.5;8691;33500
1;11;2;1;3;3.6;30333;19900
16;58;1;1;6;4.1;40498;14600
16;84;2;1;4;2.8;38311;10100
13;42;9;1;13;3;59042;18801
15;68;2;1;1;4.7;10616;34750
13;42;9;1;3;4.4;32635;21750
10;57;2;1;11;4.6;22672;34500
15;59;2;1;5;3.9;22514;42750
18;69;6;1;4;3.9;42973;12500
22;86;2;1;1;1;22907;8000
4;5;2;1;13;4;24498;14500
23;87;2;1;3;1;34915;9200
3;88;1;1;1;4.3;34933;22900
23;89;11;1;2;3.5;49188;18000
4;90;6;1;2;4.3;38134;14400
23;91;6;1;1;2;28412;7800
4;173;13;1;1;1;47268;14000
23;87;2;1;12;4.7;19836;14100
22;177;2;1;3;3.3;37628;17100
4;92;6;1;13;4;21826;15250
3;88;1;1;8;3.9;39860;20600
23;93;2;1;4;3.8;38882;13500
23;93;2;1;3;5;2575;22000
23;94;14;1;8;2.8;32198;20500
22;95;2;1;1;4.4;38680;11800
24;96;2;2;8;4.2;9419;23750
4;5;2;1;3;4.4;10929;20250
23;97;1;1;3;3.7;36431;24200
24;96;2;2;8;2.5;27196;21000
23;87;2;1;13;1;48744;9500
22;98;6;1;1;4.4;37320;11400
23;99;2;1;5;3.3;36159;19500
25;100;4;1;4;2.4;46283;10600
4;101;11;1;1;4;9531;16000
4;5;2;1;13;3.8;26637;14600
22;86;2;1;12;1;27525;4900
4;102;1;1;2;2.1;67280;11000
22;98;6;1;5;4.2;38180;11800
22;95;2;1;2;3.8;34988;15500
23;103;15;1;13;4.2;102345;18500
4;5;2;1;7;4.1;13675;14750
23;97;1;1;6;4.9;36465;27000
4;5;2;1;13;4.1;5997;17250
4;104;2;1;1;4.4;29616;22500
26;105;1;1;2;3.7;15746;46500
26;911;3;1;3;4.6;16868;88500
22;86;2;1;5;3.5;37102;13500
22;95;2;1;3;3.3;39554;11400
4;5;2;1;3;3;24185;12900
4;106;1;1;3;4;37767;18300
4;29;2;1;8;4.3;26850;9500
4;102;1;1;2;3.9;41214;13400
4;107;2;1;4;3.7;29111;12200
23;103;15;1;13;4.5;82186;20250
22;86;2;1;3;4.3;38611;13900
4;106;1;1;2;4.8;32822;19200
23;108;6;1;5;4;57865;14800
4;29;2;1;8;4.5;20379;10300
3;109;2;1;3;5;2477;25750
4;109;7;1;1;4.3;15240;22750
4;107;2;1;3;3.6;10688;14500
4;5;2;1;1;3.7;15690;17000
26;110;3;1;3;4.2;25019;49500
4;107;2;1;3;3.7;35011;12000
22;95;2;1;8;2.7;36874;11500
23;93;2;1;3;3.1;37028;21000
4;107;2;1;4;3.6;37293;11100
23;87;2;1;8;2.8;50451;10500
25;174;5;1;1;4.2;16949;14500
23;97;1;1;12;4.2;39437;26500
4;111;5;1;1;3.2;24437;12200
23;94;16;1;13;4.5;31326;18500
25;100;4;1;2;4.2;10912;20250
22;95;5;1;8;4.2;38082;12000
23;87;2;1;3;4.2;8649;13000
4;107;2;1;2;4.3;11338;12400
4;102;1;1;2;4.4;12194;16250
22;98;6;1;1;2.9;39162;12100
23;112;1;1;5;4.9;52002;25900
23;113;1;1;3;4.1;24592;34000
4;29;2;1;4;3.5;27953;10000
3;3;2;1;1;4.2;19942;20000
23;108;6;1;5;3.5;45805;16200
24;114;2;1;4;1;24734;9800
4;92;6;1;3;3.6;8485;15000
4;115;1;1;3;3.1;63459;19500
23;116;5;1;1;3.9;41829;17600
22;95;2;1;3;4;37508;11600
4;107;2;1;3;4.6;29277;12250
4;111;5;1;8;3.7;26505;12100
23;94;14;1;5;5;18015;23700
26;105;1;1;3;3.8;26999;55000
22;98;6;1;3;4.1;37791;11600
4;107;2;1;5;2.8;45876;10800
4;117;1;1;3;2.7;44897;19700
4;107;2;1;1;2.9;39548;10500
23;87;2;1;2;3.8;35400;11700
4;102;1;1;4;3.9;32117;15800
4;107;2;1;4;3.8;38775;10900
23;91;6;1;2;3.8;36882;9900
4;102;1;1;1;5;7794;18250
4;107;2;1;2;4.2;22420;12000
26;118;2;1;3;3.9;12379;59750
22;98;6;1;2;4.4;38019;27100
4;5;2;1;13;3.7;26221;15500
22;86;2;1;5;3.4;37724;13400
23;87;2;1;2;3.5;19377;12400
4;109;17;1;1;1.9;20893;9000
24;119;1;1;13;3.5;60564;14000
22;98;6;1;2;3.7;40250;11600
4;107;2;1;1;2.7;29258;10500
23;116;5;1;1;3.6;38288;17100
22;177;2;1;3;1;24369;13100
23;108;6;1;1;4.3;68829;14600
23;116;5;1;1;4;38759;17500
23;120;1;1;1;3;39900;28000
4;5;2;1;1;4.2;20906;17750
4;29;2;1;2;4.2;15343;11000
23;99;2;1;5;1;34549;15500
4;5;2;1;13;4.4;26165;17250
22;95;2;1;3;3.8;39931;11700
4;5;2;1;5;4.3;16417;16250
22;86;2;1;2;2.6;35303;13300
22;86;2;1;13;1;24954;11100
23;94;14;1;1;4.1;39631;27000
4;106;1;1;1;5;4423;18000
24;96;2;2;8;3.5;22006;29000
4;111;5;1;5;4;36297;12300
23;89;11;1;12;3.4;63250;16600
4;104;2;1;2;1;1;1000
23;93;2;1;7;4.4;13948;14900
4;29;2;2;2;4.3;18366;9500
4;29;2;1;2;2;41426;4000
26;118;2;1;1;4.1;33876;58000
4;107;2;1;1;2.9;33219;10300
23;93;2;1;3;3.8;30392;15700
25;100;4;2;2;4.4;13325;18700
4;107;2;1;3;3.6;36247;11400
4;5;2;1;1;4.1;26640;15250
22;86;2;1;2;3.2;14779;20200
4;107;2;1;1;3.9;39904;10600
4;121;1;1;2;3;41841;16700
4;107;2;1;2;3.9;50045;10600
4;121;1;1;1;3.9;35138;20500
26;110;3;1;3;3.7;21938;39500
23;93;2;1;2;4.4;56455;17750
23;91;6;1;5;1;32808;7300
23;87;2;1;2;3.2;48376;11500
23;87;2;1;1;3.3;41961;11500
4;107;2;1;5;3.9;43769;10900
23;94;14;1;5;4.3;36744;26750
4;29;2;1;2;4.2;29165;10200
23;108;6;1;3;3.6;39968;15800
23;94;14;1;6;3.4;11094;21000
23;89;11;1;1;3.5;40052;20400
22;98;6;1;1;3.4;37618;11900
23;87;2;1;5;2;35516;8200
4;107;2;1;3;3.3;42704;10700
4;102;1;1;1;3.7;34651;14900
3;3;2;1;1;3.7;27368;19000
4;29;2;1;5;3.7;24984;9200
4;121;1;1;1;3.8;23629;18900
4;117;1;1;1;4.5;19742;22500
22;86;2;1;5;3.6;39556;12000
4;121;1;1;2;4.4;14805;25250
23;93;2;1;5;2;31300;11200
4;104;2;1;1;4.4;14421;20000
2;14;3;1;1;3.8;28925;50500
9;122;2;1;3;3.9;43127;17800
6;10;2;1;13;3.5;36541;29000
2;14;4;1;3;4.7;34941;42500
2;16;2;1;3;4.7;45443;30500
2;14;3;1;2;4.8;20904;49000
2;16;2;1;3;5;54744;29250
2;14;4;1;1;3.6;24452;44000
2;123;2;1;3;4.7;17189;25000
2;123;2;1;3;4.3;35818;35250
2;2;3;1;3;3.8;14149;40500
2;2;3;1;8;3.1;27675;25750
2;14;3;1;3;3.6;24132;49500
2;124;4;1;8;4.1;16288;27500
2;14;4;1;3;4.4;39628;42000
9;165;2;1;2;4.1;28395;20200
2;16;2;1;2;2.2;28170;47000
2;123;2;1;2;3.3;14769;34750
2;14;3;1;3;4.2;34780;47000
2;2;3;1;8;3.7;35711;25500
9;165;2;1;3;4.4;19669;21600
2;16;2;1;2;4.8;19782;31000
2;123;2;1;1;3.6;32509;40000
2;16;2;1;3;2.1;29808;26500
6;177;2;1;3;2.8;13044;35250
6;165;2;1;3;3.3;36671;40500
2;2;4;1;2;4.5;37632;32000
2;16;2;1;2;4.8;27979;34750
2;16;2;1;3;4.3;22371;34750
2;16;2;1;1;4.1;32960;29250
2;14;3;1;1;4.1;46534;41500
2;2;2;1;6;4.5;29157;24750
2;16;2;1;8;4.4;24506;33000
6;177;4;1;1;3.8;32737;26500
